Rifugiato;Annuncio;Label
Sviluppo di applicazioni mobile;Lead Mobile Engineer per piattaforma di social networking;1
Analisi dei dati con Excel o Power BI;Responsabile reporting per analisi avanzata di dati aziendali;1
Automazione dei processi con script;Software Engineer per sviluppo di bot e automazione di processi aziendali;1
Sviluppo di videogiochi;Tester QA per debugging e ottimizzazione di giochi;1
Configurazione di reti informatiche;Consulente IT per gestione e ottimizzazione di reti aziendali;1
Sicurezza informatica;Security Engineer per sviluppo di infrastrutture sicure;1
Creazione di database;Backend Developer con esperienza in database NoSQL come MongoDB;1
Assistenza tecnica hardware/software;Consulente tecnico per l'installazione e configurazione di software e dispositivi hardware;1
Utilizzo di strumenti CAD;Specialista CAD per progettazione di componenti automotive e industriali;1
Progettazione grafica (Photoshop, Illustrator);Visual Designer per la creazione di elementi grafici per applicazioni mobile;1
Progettazione di interni;Specialista nella progettazione di ambienti eleganti per strutture alberghiere e resort;1
Disegno tecnico e industriale;Architetto con competenze in progettazione tecnica e sviluppo di piani industriali;1
Progettazione 3D (Blender, AutoCAD);Designer di prodotto per progettazione e modellazione 3D di oggetti in Blender e AutoCAD;1
Fotografia professionale;Fotografo naturalistico per documentari, reportage ambientali e progetti legati al territorio;1
Editing video (Premiere, Final Cut);Montatore per videoclip musicali e contenuti per YouTube;1
Creazione di loghi e brand identity;Illustratore e logo designer per progetti creativi e innovativi;1
Progettazione di materiali pubblicitari;Motion Designer per la realizzazione di spot pubblicitari animati;1
Creazione di contenuti per social media;Influencer Marketing Specialist per collaborazioni e gestione creator;1
Produzione musicale;Specialista in mastering audio per distribuzione digitale;1
Gestione di campagne pubblicitarie;Media Buyer per acquisto e ottimizzazione di spazi pubblicitari online;1
Creazione di contenuti per blog;Esperto in storytelling e copywriting per articoli di blog professionali;1
Scrittura SEO per il web;Giornalista digitale con esperienza in scrittura SEO per testate online;1
Analisi di mercato;Ricercatore di mercato per analizzare la concorrenza e identificare nicchie di crescita.;1
Gestione di account social media;Brand Manager per gestione del brand attraverso campagne e contenuti sui social network;1
Pianificazione di strategie di marketing digitale;Content Marketing Manager per sviluppo e distribuzione di contenuti strategici;1
Email marketing;Marketing Automation Specialist per implementazione di funnel email efficaci;1
Gestione di relazioni con i clienti (CRM);Consulente CRM per implementazione e ottimizzazione di software di customer relationship management;1
Pubblicità su piattaforme come Google Ads o Facebook Ads;Media Buyer per gestione di budget pubblicitari su piattaforme digitali;1
Creazione di newsletter;Giornalista per redazione di contenuti per newsletter editoriali e aziendali;1
Scrittura creativa e narrativa;Paroliere per testi musicali e canzoni d’autore;1
Redazione di articoli giornalistici;Redattore scientifico per rivista accademica;1
Traduzione di documenti in lingue straniere;Traduttore per il settore medico-farmaceutico;1
Revisione e correzione di testi;Consulente editoriale per ottimizzazione e correzione di manoscritti;1
Scrittura di manuali tecnici;Redattore di manuali tecnici per software aziendali e guide online;1
Scrittura accademica e tesi di laurea;Docente universitario per corsi di scrittura accademica e assistenza a studenti nella scrittura di tesi;1
Scrittura di sceneggiature;Sceneggiatore per film di animazione, con esperienza in narrazione visiva e scripting per il cinema;1
Insegnamento di materie scolastiche (matematica, italiano);Insegnante di matematica e italiano per scuola primaria e programmi di doposcuola;1
Tutoraggio per studenti universitari;Tutor di programmazione per studenti di informatica e scienze computazionali;1
Assistenza ai compiti per bambini;Aiuto compiti per bambini delle scuole elementari con approccio ludico e stimolante;1
Insegnamento di lingue straniere;Esperto di didattica delle lingue per la creazione di materiali educativi;1
Lavorare con bambini e animatori per eventi;Clown e artista di strada per eventi per l'infanzia;1
Supporto educativo per bambini con disabilità;Animatore sociale per attività ludico-educative inclusive;1
Lezioni di musica (pianoforte, chitarra);Lezioni private di pianoforte e teoria musicale per bambini e adulti;1
Lezioni di sport o personal trainer;Personal trainer online per consulenze e programmi fitness;1
Creazione di corsi online;Consulente per digitalizzazione della formazione aziendale;1
Lavorazione del legno;Scultore del legno per realizzazione di decorazioni e opere artistiche;1
Creazione di gioielli artigianali;Artigiano orafo per lavorazione di metalli e pietre preziose;1
Cucito e riparazione di abiti;Sarta artigianale per restauro e personalizzazione di capi vintage;1
Decorazione di interni;Consulente di design per arredamento e scelta materiali;1
Falegnameria su misura;Falegname per design e costruzione di cucine personalizzate;1
Realizzazione di sculture o opere d’arte;Restauratore di sculture antiche e opere d'arte tridimensionali;1
Restauro di mobili antichi;Specialista in doratura e intarsio per mobili antichi;1
Origami o arti decorative;Assistente scenografo per realizzazione di scenografie in carta;1
Assistenza a persone anziane;Cuoco per preparazione pasti bilanciati in una casa di riposo per anziani;1
Cura e assistenza a persone con disabilità;Specialista in educazione e sviluppo per bambini con disabilità intellettive;1
Massaggi e trattamenti benessere;Estetista qualificata per trattamenti viso e corpo con focus sul benessere generale;1
Consulenza nutrizionale;Specialista in alimentazione per diabetici e gestione della malattia con la dieta;1
Consulenza per fitness e allenamenti personalizzati;Consulente per allenamenti individuali e di gruppo per migliorare la forma fisica generale;1
Babysitting e cura di bambini piccoli;Educatore infantile per attività didattiche e cura bambini piccoli;1
Coaching personale e motivazionale;Mental Coach per atleti professionisti e amatori;1
Interpretariato in tempo reale;Consulente linguistico per eventi live e broadcast internazionali;1
Traduzione simultanea durante eventi;Traduttore simultaneo per meeting corporate e conferenze in più lingue;1
Insegnamento di italiano per stranieri;Educatore linguistico per scuole private specializzate nell'insegnamento di italiano come lingua straniera;1
Traduzione testi tecnici in inglese, francese, ecc.;Traduttore di testi tecnici per il settore automobilistico, con competenze in inglese e tedesco;1
Supporto per esami di certificazioni linguistiche;Formatore linguistico per supporto nella preparazione a esami di certificazioni ufficiali;1
Creazione di contenuti multilingue per aziende;Project Manager per sviluppo e traduzione di contenuti aziendali in lingue multiple;1
Organizzazione di eventi e matrimoni;Planner per eventi di lusso e matrimoni in location internazionali;1
Gestione di team e progetti complessi;Manager di progetto per organizzazione e monitoraggio di team multidisciplinari;1
Pianificazione logistica e trasporti;Logistica Manager per la gestione e il coordinamento delle operazioni di trasporto merci in ambito internazionale;1
Saldatura - ScuolaPrimaria;Bartender per locale notturno con esperienza in mixology;0
Riparazione di elettrodomestici - ScuolaPrimaria;Panettiere per produzione di pane e prodotti da forno artigianali;0
Manutenzione di impianti elettrici;Sistemista junior - Contratto stabile;0
Manutenzione di impianti idraulici;Operatore per sostituzione di piastrelle in bagni e cucine;0
Riparazione di veicoli;Lavapiatti con possibilità di crescita - Turni flessibili;0
Verniciatura di pareti e superfici;Autista consegne food delivery - Flessibilità oraria;0
Manutenzione del verde e giardinaggio;Grafico pubblicitario per realizzazione di brochure e volantini;0
Manutenzione di ascensori;Psicologo specializzato in supporto clinico e counseling;0
Montaggio di mobili;Barista per caffetteria nel centro città;0
Riparazione di dispositivi elettronici;Manager di progetto per organizzazione e monitoraggio di team multidisciplinari;0
Installazione di climatizzatori;Cameriere per ristorante italiano;0
Sostituzione di piastrelle e pavimenti;Cameriere per hotel di lusso;0
Pulizia di case e abitazioni;Cuoco esperto in cucina vegana;0
Pulizia di uffici e locali commerciali;Graphic designer per agenzia pubblicitaria;0
Sanificazione di ambienti;Sviluppatore software esperto in JavaScript;0
Lavaggio e stiratura di indumenti;meccanico;0
Organizzazione degli spazi in casa;panettiere;0
Pulizia di grandi superfici come magazzini;Attore per produzioni teatrali e cinematografiche;0
Pulizia e cura di tappeti e tessuti delicati;Autista per trasporto merci su lunga distanza;0
Servizio di pulizia post-ristrutturazione;Operatore telefonico;0
Preparazione di pasti casalinghi;Sviluppatore software esperto in Python;0
Panificazione e preparazione di dolci;Cameriere per ristorante di pesce;0
Cucina internazionale (es. sushi, cucina messicana);Barista esperto nella preparazione di cocktail;0
Preparazione di catering per eventi;Tecnico installatore di impianti elettrici industriali;0
Barista e preparazione di cocktail;Addetto alle pulizie per hotel;0
Servizio ai tavoli;Sviluppatore web specializzato in e-commerce;0
Gestione di ristoranti e cucine;Medico specializzato in chirurgia estetica;0
Conoscenza di diete speciali (vegana, senza glutine);Lavapiatti con possibilità di crescita - Turni flessibili;0
Programmazione in Python;Insegnante di inglese per corsi di livello avanzato;0
Programmazione in JavaScript;Operaio/a tessile - Produzione di qualità;0
Creazione di siti web (HTML/CSS);Addetto vendite in negozio di elettronica;0
Sviluppo di applicazioni mobile;Assistente personale - Contratto a tempo pieno;0
Analisi dei dati con Excel o Power BI;Barista esperto in mixology - Opportunità di crescita;0
Automazione dei processi con script;Pizzaiolo/a apprendista - Formazione retribuita;0
Sviluppo di videogiochi;Editor Video Junior - Inizio immediato!;0
Configurazione di reti informatiche;Operaio/a esperto in ristrutturazioni - Stipendio competitivo;0
Sicurezza informatica;Mulettista per azienda locale - Contratto full time;0
Creazione di database;Addetto/a al ricevimento merci in magazzino;0
Assistenza tecnica hardware/software;Addetto/a supporto anziani - Contratto diretto;0
Utilizzo di strumenti CAD;Responsabile vendite per negozio di abbigliamento;0
Progettazione grafica (Photoshop, Illustrator);Psicologo per consulenze cliniche e terapie individuali;0
Progettazione di interni;Autista per consegna merci e trasporti locali;0
Disegno tecnico e industriale;Camionista per trasporto merci su lunga distanza;0
Progettazione 3D (Blender, AutoCAD);Esperto in logistica per gestione spedizioni e magazzino;0
Fotografia professionale;Insegnante di scuola primaria con esperienza nell'educazione ambientale;0
Editing video (Premiere, Final Cut);Supporto amministrativo per startup innovativa;0
Creazione di loghi e brand identity;Avvocato esperto in diritto commerciale e contrattualistica;0
Progettazione di materiali pubblicitari;Specialista in Finiture Murali;0
Creazione di contenuti per social media;Aiuto cuoco per trattoria locale - Esperienza non necessaria;0
Produzione musicale;Medico specializzato in chirurgia ortopedica;0
Gestione di campagne pubblicitarie;Guida turistica multilingue - Esperienza non richiesta;0
Creazione di contenuti per blog;Parrucchiere esperto in colorazione e taglio;0
Scrittura SEO per il web;Insegnante di educazione fisica per scuola secondaria;0
Analisi di mercato;Addetto/a mercato ambulante - Lavoro immediato;0
Gestione di account social media;Receptionist per studio legale - Ambiente professionale;0
Pianificazione di strategie di marketing digitale;Direttore d’orchestra per eventi musicali e concerti sinfonici;0
Email marketing;Insegnante di italiano per stranieri - Progetto inclusivo;0
Gestione di relazioni con i clienti (CRM);Graphic Designer esperto in branding e illustrazione;0
Pubblicità su piattaforme come Google Ads o Facebook Ads;Sommelier per ristorante gourmet - Formazione inclusa;0
Creazione di newsletter;Nutrizionista specializzato in diete senza glutine e vegane;0
Scrittura creativa e narrativa;Graphic Designer per sviluppo di materiali promozionali in-store;0
Redazione di articoli giornalistici;Disegnatore tecnico CAD per progettazione di componenti industriali;0
Traduzione di documenti in lingue straniere;Digital Marketing Specialist con esperienza in campagne su Google Ads e Facebook Ads;0
Revisione e correzione di testi;Programmatore Java per sviluppo di applicazioni web;0
Scrittura di manuali tecnici;Assistente sociale per supporto a persone anziane;0
Scrittura accademica e tesi di laurea;Tester QA per debugging e ottimizzazione di giochi;0
Scrittura di sceneggiature;Web Developer e Creatore di Contenuti - Inizio immediato!;0
Insegnamento di materie scolastiche (matematica, italiano);Tecnico informatico per assistenza hardware e software;0
Tutoraggio per studenti universitari;Artista visivo per esposizione in galleria;0
Assistenza ai compiti per bambini;Manager di social media per una startup tecnologica;0
Insegnamento di lingue straniere;Operatore/trice serre idroponiche - Inizio immediato;0
Lavorare con bambini e animatori per eventi;Ingegnere meccanico per progettazione di macchinari industriali;0
Supporto educativo per bambini con disabilità;Sviluppatore SQL per progettazione e ottimizzazione di database aziendali;0
Lezioni di musica (pianoforte, chitarra);Sviluppatore software per applicazioni web e mobile;0
Lezioni di sport o personal trainer;Programmatore Java per sviluppo di software gestionali;0
Creazione di corsi online;Fotografo professionista per eventi e matrimoni;0
Lavorazione del legno;Manovale edile - Opportunità di crescita;0
Creazione di gioielli artigianali;Autista per consegne a domicilio;0
Cucito e riparazione di abiti;Agente immobiliare per vendita e affitto di proprietà residenziali;0
Decorazione di interni;Medico specializzato in dermatologia estetica;0
Falegnameria su misura;Addetto/a al customer care per tour operator;0
Realizzazione di sculture o opere d’arte;Chef esperto in cucina molecolare;0
Restauro di mobili antichi;Creazione di contenuti multilingue per aziende;0
Origami o arti decorative;Programmatore backend per sviluppo software aziendale;0
Assistenza a persone anziane;Incisore orafo esperto in tecniche di personalizzazione di gioielli;0
Cura e assistenza a persone con disabilità;Impiegato in ufficio amministrativo per gestione documenti;0
Massaggi e trattamenti benessere;Giardiniere con esperienza - Contratto a tempo indeterminato;0
Consulenza nutrizionale;Responsabile di magazzino per distribuzione alimentare;0
Consulenza per fitness e allenamenti personalizzati;Web designer per creazione e manutenzione siti internet;0
Babysitting e cura di bambini piccoli;Consulente IT per sviluppo software;0
Coaching personale e motivazionale;Fisioterapista per riabilitazione post-operatoria;0
Interpretariato in tempo reale;Docente di musica per corsi di pianoforte in conservatorio;0
Traduzione simultanea durante eventi;Organizzatore di eventi senza competenze linguistiche richieste;0
Insegnamento di italiano per stranieri;Assistente alla poltrona in studio dentistico;0
Traduzione testi tecnici in inglese, francese, ecc.;Tecnico falegname per allestimenti scenografici in legno;0
Supporto per esami di certificazioni linguistiche;Scenografo per allestimenti teatrali e cinematografici;0
Creazione di contenuti multilingue per aziende;Fotografo di eventi specializzato in matrimoni, feste ed eventi sociali;0
Organizzazione di eventi e matrimoni;Camionista per trasporto merci in tutta Italia;0
Gestione di team e progetti complessi;Artista Scultore/a - Opportunità creativa immediata!;0
Pianificazione logistica e trasporti;Operatore socio-educativo per supporto a bambini con disabilità cognitive;0
Saldatura - ScuolaPrimaria;Badante con esperienza per supporto quotidiano a persone anziane non autosufficienti;0
Riparazione di elettrodomestici - ScuolaPrimaria;Tecnico saldatore per attività laboratoriali in ambito scolastico;0
Manutenzione di impianti elettrici;Educatore/trice per minori in comunità;0
Manutenzione di impianti idraulici;Esperto in riparazione di impianti tecnologici scolastici, inclusi elettrodomestici;0
Riparazione di veicoli;Insegnante di italiano per stranieri - Progetto inclusivo;0
Verniciatura di pareti e superfici;Tecnico caldaie e climatizzatori;0
Manutenzione del verde e giardinaggio;Programmatore informatico per sviluppo software di gestione ambientale;0
Manutenzione di ascensori;Pittore edile;0
Montaggio di mobili;Grafico esperto in progettazione di loghi e identità visiva;0
Riparazione di dispositivi elettronici;Traduttore simultaneo per meeting corporate e conferenze in più lingue;0
Installazione di climatizzatori;Sviluppatore software esperto in Python;0
Sostituzione di piastrelle e pavimenti;Sviluppatore software specializzato in JavaScript;0
Pulizia di case e abitazioni;Addetto conti bancari;0
Pulizia di uffici e locali commerciali;Chef specializzato in cucina gourmet;0
Sanificazione di ambienti;Cuoco per ristorante italiano;0
Lavaggio e stiratura di indumenti;consulente finanziario per gestione investimenti ;0
Organizzazione degli spazi in casa;Tecnico installatore di impianti di climatizzazione residenziale;0
Pulizia di grandi superfici come magazzini;Responsabile vendite settore moda e abbigliamento;0
Pulizia e cura di tappeti e tessuti delicati;elettricista aziendale;0
Servizio di pulizia post-ristrutturazione;Graphic designer esperto in branding;0
Preparazione di pasti casalinghi;Assistente di laboratorio scolastico;0
Panificazione e preparazione di dolci;Agente di commercio per vendita automobili;0
Cucina internazionale (es. sushi, cucina messicana);Addetto alle pulizie per cucina industriale;0
Preparazione di catering per eventi;Agente immobiliare per vendita e locazione di appartamenti;0
Barista e preparazione di cocktail;Programmatore Python per startup tech;0
Servizio ai tavoli;Falegname esperto nella costruzione di mobili su misura;0
Gestione di ristoranti e cucine;Guardia giurata per servizio di sicurezza;0
Conoscenza di diete speciali (vegana, senza glutine);Potatore di vigneti - Contratto a progetto;0
Programmazione in Python;Operaio/a in azienda agricola - Possibilità di lungo termine;0
Programmazione in JavaScript;Organizzatore di eventi - Lavoro dinamico;0
Creazione di siti web (HTML/CSS);Cuoco specializzato in cucina mediterranea;0
Sviluppo di applicazioni mobile;Gestore pratiche amministrative - Contratto con benefit;0
Analisi dei dati con Excel o Power BI;Sommelier per ristorante gourmet - Formazione inclusa;0
Automazione dei processi con script;Tinteggiatore con esperienza in decorazioni;0
Sviluppo di videogiochi;Escavatorista con patentino - Lavoro ben retribuito;0
Configurazione di reti informatiche;Addetto/a gestione magazzino - Software dedicato;0
Sicurezza informatica;Insegnante di musica per lezioni di chitarra e pianoforte;0
Creazione di database;Coltivatore di piante aromatiche - Opportunità sostenibile;0
Assistenza tecnica hardware/software;Operatore/trice per servizio trasporto disabili;0
Utilizzo di strumenti CAD;Tecnico audio-video per eventi e concerti;0
Progettazione grafica (Photoshop, Illustrator);Sviluppatore JavaScript per applicazioni web;0
Progettazione di interni;Agente di viaggio per prenotazione di viaggi e tour turistici;0
Disegno tecnico e industriale;Addetto alla reception in hotel internazionale;0
Progettazione 3D (Blender, AutoCAD);Agente di viaggio per organizzazione di tour internazionali;0
Fotografia professionale;Venditore per articoli artigianali locali;0
Editing video (Premiere, Final Cut);Coordinatore progetti comunitari - Contratto diretto;0
Creazione di loghi e brand identity;Muratore con esperienza - Contratto full-time;0
Progettazione di materiali pubblicitari;Fattorino per consegne rapide - Moto aziendale;0
Creazione di contenuti per social media;Barista in caffetteria accogliente - Full time o part time;0
Produzione musicale;Fisioterapista esperto in riabilitazione sportiva;0
Gestione di campagne pubblicitarie;Tutor scolastico per ripetizioni - Compensi orari garantiti;0
Creazione di contenuti per blog;Specialista reti e telecomunicazioni - Posizione immediata;0
Scrittura SEO per il web;Elettricista per impianti industriali e civili;0
Analisi di mercato;Apicoltore junior - Formazione sul campo;0
Gestione di account social media;Archivista per biblioteca locale;0
Pianificazione di strategie di marketing digitale;Restauratore di opere d'arte con esperienza in affreschi antichi;0
Email marketing;Cassiere/a per supermercato - Lavoro stabile;0
Gestione di relazioni con i clienti (CRM);Sviluppatore Frontend con esperienza in React e Angular;0
Pubblicità su piattaforme come Google Ads o Facebook Ads;Sommelier per ristorante gourmet - Formazione inclusa;0
Creazione di newsletter;Senior Graphic Designer con focus sulla progettazione di packaging e illustrazioni;0
Scrittura creativa e narrativa;Chef per servizio di catering privato;0
Redazione di articoli giornalistici;Tecnico del suono per registrazione e mixaggio in studio;0
Traduzione di documenti in lingue straniere;Carrellista per stoccaggio merci - Ambiente dinamico;0
Revisione e correzione di testi;Consulente nutrizionale per piani alimentari personalizzati;0
Scrittura di manuali tecnici;Cameriere per eventi e banchetti;0
Scrittura accademica e tesi di laurea;Developer per sviluppo di dashboard interattive con D3.js e JavaScript;0
Scrittura di sceneggiature;Addetto/a al customer care per tour operator;0
Insegnamento di materie scolastiche (matematica, italiano);Esperto in gestione eventi e coordinamento di matrimoni;0
Tutoraggio per studenti universitari;Web designer per progetti locali - Lavoro flessibile;0
Assistenza ai compiti per bambini;Sviluppatore Frontend specializzato in JavaScript e React;0
Insegnamento di lingue straniere;Operatore/trice serre idroponiche - Inizio immediato;0
Lavorare con bambini e animatori per eventi;Tecnico informatico per assistenza hardware e software;0
Supporto educativo per bambini con disabilità;Tecnico specializzato in lavaggio e trattamento tessuti pregiati;0
Lezioni di musica (pianoforte, chitarra);Impiegato/a gestione risorse umane junior;0
Lezioni di sport o personal trainer;Supporto amministrativo per startup innovativa;0
Creazione di corsi online;Chef esperto in cucina molecolare;0
Lavorazione del legno;Assistente agli anziani - Empatia e professionalità;0
Creazione di gioielli artigianali;Contabile esperto in gestione finanziaria aziendale;0
Cucito e riparazione di abiti;Programmatore informatico per sviluppo software gestionali;0
Decorazione di interni;Personal shopper per consulenza di moda e stile;0
Falegnameria su misura;Sviluppatore Frontend specializzato in JavaScript e React;0
Realizzazione di sculture o opere d’arte;Tecnico specializzato in lavaggio e trattamento tessuti pregiati;0
Restauro di mobili antichi;Receptionist per studio legale - Ambiente professionale;0
Origami o arti decorative;Commerciale per vendita di prodotti farmaceutici;0
Assistenza a persone anziane;Artigiano del legno per realizzazione di mobili su misura;0
Cura e assistenza a persone con disabilità;Cameriere per ristorante fast food;0
Massaggi e trattamenti benessere;Barista per caffetteria storica - Turni flessibili;0
Consulenza nutrizionale;Manager per eventi di moda e sfilate;0
Consulenza per fitness e allenamenti personalizzati;Autista patente C + CQC - Contratto stabile;0
Babysitting e cura di bambini piccoli;Pizzaiolo con esperienza nella preparazione di pizza napoletana;0
Coaching personale e motivazionale;Agente di viaggio specializzato in pacchetti turistici;0
Interpretariato in tempo reale;Redattore di romanzi e racconti per casa editrice;0
Traduzione simultanea durante eventi;Tecnico audio-video per eventi senza richiesta di traduzione linguistica;0
Insegnamento di italiano per stranieri;Addetto alla logistica per spedizioni internazionali;0
Traduzione testi tecnici in inglese, francese, ecc.;Designer per packaging creativo con tecniche di piegatura artistica;0
Supporto per esami di certificazioni linguistiche;Allenatore di calcio per giovani e adulti;0
Creazione di contenuti multilingue per aziende;Montatore video per documentari e reportage giornalistici;0
Organizzazione di eventi e matrimoni;Agente di viaggio specializzato in destinazioni esotiche;0
Gestione di team e progetti complessi;Cameriere/a per crociere - Viaggi inclusi;0
Pianificazione logistica e trasporti;Blogger per la creazione di contenuti originali su viaggi e lifestyle;0
Saldatura - ScuolaPrimaria;Coordinatore Trasporti per gestione efficiente delle rotte e dei carichi aziendali;0
Riparazione di elettrodomestici - ScuolaPrimaria;Wedding Designer per la personalizzazione di matrimoni unici;0
Manutenzione di impianti elettrici;Personal Trainer - Inizio Immediato!;0
Manutenzione di impianti idraulici;Analista di mercato con competenze in Excel per report e visualizzazioni;0
Riparazione di veicoli;Falegname cercasi - Contratto stabile;0
Verniciatura di pareti e superfici;Tecnico riparazione elettrodomestici;0
Manutenzione del verde e giardinaggio;Chef specializzato in cucina vegetariana e biologica;0
Manutenzione di ascensori;Tecnico idraulico per installazione e manutenzione di impianti civili e industriali;0
Montaggio di mobili;Verniciatore di mobili e complementi d’arredo in falegnameria;0
Riparazione di dispositivi elettronici;Progettista CAD per aziende industriali;0
Installazione di climatizzatori;Graphic designer specializzato in creazione di loghi;0
Sostituzione di piastrelle e pavimenti;Graphic designer per creazione di loghi;0
Pulizia di case e abitazioni;Assistente di volo;0
Pulizia di uffici e locali commerciali;Insegnante di matematica per scuola privata;0
Sanificazione di ambienti;muratore ;0
Lavaggio e stiratura di indumenti;Assistente di volo;0
Organizzazione degli spazi in casa;Agente di sicurezza per eventi;0
Pulizia di grandi superfici come magazzini;Ingegnere progettista per impianti industriali;0
Pulizia e cura di tappeti e tessuti delicati;Addetto alla manutenzione di impianti idraulici;0
Servizio di pulizia post-ristrutturazione;Insegnante di lingue per corsi online;0
Preparazione di pasti casalinghi;Intagliatore legno;0
Panificazione e preparazione di dolci;Psicologo;0
Cucina internazionale (es. sushi, cucina messicana);Magazziniere per fornitura di prodotti alimentari;0
Preparazione di catering per eventi;Consulente finanziario per investimenti e gestione patrimoniale;0
Barista e preparazione di cocktail;Autista per trasporto merci;0
Servizio ai tavoli;Avvocato specializzato in diritto commerciale;0
Gestione di ristoranti e cucine;Responsabile della logistica in azienda di trasporti;0
Conoscenza di diete speciali (vegana, senza glutine);Giardiniere esperto cercasi - Contratto part-time;0
Programmazione in Python;Lavoro nei campi - Opportunità stagionale e alloggio;0
Programmazione in JavaScript;Web designer per progetti locali - Lavoro flessibile;0
Creazione di siti web (HTML/CSS);Restauratore di mobili - Collaborazione regolare;0
Sviluppo di applicazioni mobile;Addetto/a alla griglia - Ristorante informale;0
Analisi dei dati con Excel o Power BI;Aiuto pasticcere per laboratorio locale - Turni mattutini;0
Automazione dei processi con script;Operaio/a pavimentista per cantieri civili;0
Sviluppo di videogiochi;Posatore di cartongesso - Progetto immediato;0
Configurazione di reti informatiche;Autista consegne food delivery - Flessibilità oraria;0
Sicurezza informatica;Conducente autobus turistico - Percorsi locali;0
Creazione di database;Addetto/a raccolta agrumi - Lavoro stagionale con alloggio;0
Assistenza tecnica hardware/software;Baby sitter convivente - Alloggio incluso;0
Utilizzo di strumenti CAD;Assistente scolastico per alunni con bisogni speciali;0
Progettazione grafica (Photoshop, Illustrator);Personal Trainer - Inizio Immediato!;0
Progettazione di interni;Esperto in assistenza tecnica per riparazione di elettrodomestici;0
Disegno tecnico e industriale;Addetto/a al banco alimentare - Full time;0
Progettazione 3D (Blender, AutoCAD);Responsabile marketing per gestione campagne pubblicitarie;0
Fotografia professionale;Addetto/a booking per agenzia viaggi;0
Editing video (Premiere, Final Cut);Archivista per biblioteca locale;0
Creazione di loghi e brand identity;Manovale edile - Opportunità di crescita;0
Progettazione di materiali pubblicitari;Esperto in Cucito;0
Creazione di contenuti per social media;Imbianchino per progetti residenziali - Materiali forniti;0
Produzione musicale;Pilota di linea per voli internazionali;0
Gestione di campagne pubblicitarie;Sviluppatore software cercasi - Contratto a progetto;0
Creazione di contenuti per blog;Programmatore junior - Opportunità in team esperto;0
Scrittura SEO per il web;Operaio/a in azienda agricola - Possibilità di lungo termine;0
Analisi di mercato;Potatore specializzato in alberi da frutto;0
Gestione di account social media;Coordinatore progetti comunitari - Contratto diretto;0
Pianificazione di strategie di marketing digitale;Astronomo per ricerca e analisi di fenomeni celesti;0
Email marketing;Addetto/a assistenza IT - Opportunità stabile;0
Gestione di relazioni con i clienti (CRM);Ricercatore scientifico in biotecnologie;0
Pubblicità su piattaforme come Google Ads o Facebook Ads;Cuoco esperto in cucina vegetariana;0
Creazione di newsletter;Esperto in creazione di banner digitali per social media;0
Scrittura creativa e narrativa;Game Designer per progetto di realtà virtuale;0
Redazione di articoli giornalistici;Estetista per centro benessere specializzato in trattamenti viso e corpo;0
Traduzione di documenti in lingue straniere;Conducente autobus turistico - Percorsi locali;0
Revisione e correzione di testi;Esperto in branding e comunicazione visiva per startup e PMI;0
Scrittura di manuali tecnici;Store manager per catena di negozi locali;0
Scrittura accademica e tesi di laurea;Artista 3D per modellazione di ambienti e personaggi;0
Scrittura di sceneggiature;Cameriere/a per crociere - Viaggi inclusi;0
Insegnamento di materie scolastiche (matematica, italiano);Sistemista junior - Contratto stabile;0
Tutoraggio per studenti universitari;Tecnico informatico junior - Formazione inclusa;0
Assistenza ai compiti per bambini;Addetto alla manutenzione di pavimenti industriali;0
Insegnamento di lingue straniere;Potatore specializzato in alberi da frutto;0
Lavorare con bambini e animatori per eventi;Operatore presso laboratorio artigianale di pelle;0
Supporto educativo per bambini con disabilità;Direttore di sala per ristorante di alto livello;0
Lezioni di musica (pianoforte, chitarra);Supporto amministrativo per startup innovativa;0
Lezioni di sport o personal trainer;Esperto/a di automazione e organizzazione eventi - Contratto immediato!;0
Creazione di corsi online;Guida turistica per percorsi culturali e storici;0
Lavorazione del legno;Addetto/a al confezionamento - Produzione alimentare;0
Creazione di gioielli artigianali;Animatore/Animatrice per eventi e supporto educativo - Contratto immediato!;0
Cucito e riparazione di abiti;Artista Scultore/a - Opportunità creativa immediata!;0
Decorazione di interni;Senior Graphic Designer con focus sulla progettazione di packaging e illustrazioni;0
Falegnameria su misura;Tecnico specializzato in lavaggio e trattamento tessuti pregiati;0
Realizzazione di sculture o opere d’arte;Consulente nutrizionale per piani alimentari personalizzati;0
Restauro di mobili antichi;Archivista per biblioteca locale;0
Origami o arti decorative;Animatore/trice per eventi per bambini;0
Assistenza a persone anziane;Interior Designer per progettazione di ambienti residenziali e commerciali;0
Cura e assistenza a persone con disabilità;Designer grafico per creazione di contenuti visivi;0
Massaggi e trattamenti benessere;Addetto/a al confezionamento - Produzione alimentare;0
Consulenza nutrizionale;Addetto alla pulizia in palestra;0
Consulenza per fitness e allenamenti personalizzati;Addetto/a spedizioni internazionali - Richiesta precisione;0
Babysitting e cura di bambini piccoli;Receptionist per hotel - Turni flessibili e formazione;0
Coaching personale e motivazionale;Addetto/a reparto freschi - Ambiente dinamico;0
Interpretariato in tempo reale;Network Engineer specializzato in reti aziendali e sicurezza;0
Traduzione simultanea durante eventi;Event planner per matrimoni e feste private;0
Insegnamento di italiano per stranieri;Banconista in gelateria artigianale - Ambiente dinamico;0
